a_missing,b_wrong,c_incitement,d_bad,e_none,post_id
0,0,0,0,1,68ec4a0a00000000040031e2
0,0,0,0,1,68ff64a500000000070163d3
0,0,0,0,1,68e8d3fa0000000004007eb0
0,0,0,0,1,690afc6800000000050395f7
0,0,0,0,1,6905e0790000000003038b65
0,0,0,0,1,68f0b6ee000000000400330b
0,0,0,0,1,68f6fcdd00000000030185c7
0,0,0,0,1,68f489ba0000000005000ad3
0,0,0,0,1,68f22275000000000700de5f
0,0,0,0,1,690a05660000000005012356
0,0,0,0,1,6901b598000000000401788a
1,0,0,0,0,68f79875000000000703503f
0,0,0,0,1,68f88c100000000004028974
0,0,0,0,1,68ecbd86000000000303b778
0,0,0,0,1,690d7d9b0000000004028861
0,0,0,0,1,6904403500000000040022b7
0,0,0,0,1,68f8692b000000000300d0b1
0,0,0,0,1,68f887670000000007035123
0,0,0,0,1,690c800e00000000030361e9
0,0,0,0,1,68f382d00000000005013034
0,0,0,0,1,6904d9f8000000000302ff88
1,0,0,0,0,68f323b10000000003038849
0,0,0,0,1,6905e020000000000300ce9e
0,0,0,0,1,68eefdd90000000007015017
0,0,0,0,1,6906c2490000000003023751
0,0,0,0,1,6906fbac000000000301f971
0,0,0,0,1,68fcb4e70000000007035673
0,0,0,0,1,690423690000000007033f34
0,0,0,0,1,690d3abb000000000700949d
0,0,0,0,1,68eb7ce000000000070343a3
0,0,0,0,1,68f0a7560000000005039d97
0,0,0,0,1,690ab9180000000007008db4
1,0,0,0,0,68f88b480000000004006298
0,0,0,0,1,68ec70f30000000007015653
0,0,0,0,1,6909b6560000000004005791
0,0,0,1,0,68f9fa8a000000000301a642
0,0,0,0,1,69016536000000000300c762
0,0,0,0,1,68fa2790000000000702387f
0,0,0,0,1,68ff9635000000000503b179
0,0,0,0,1,690e2c4a000000000302cece
1,0,0,0,0,690b5e2f000000000503017b
0,1,0,0,0,68fc34550000000004021456
0,0,0,0,1,690b4087000000000700ec07
0,0,0,0,1,69019ff70000000007008378
0,0,0,0,1,68ff4524000000000700f28f
1,0,0,0,0,68fb196e000000000700951e
0,0,1,0,0,690b4b270000000004001c13
0,0,0,0,1,68e7e4a1000000000402b168
0,0,0,0,1,690483dd000000000400160a
0,0,0,0,1,690c652e00000000070001f8
1,0,0,0,0,690dddf8000000000503984a
0,0,1,1,0,641457e6000000001301532b
0,0,0,0,1,6909dda70000000003037d34
1,0,0,0,0,68ea05090000000004015053
0,0,0,0,1,690dc2990000000005001192
1,0,0,0,0,6904cd3b00000000030362e4
0,0,0,0,1,690c8c4b0000000007037973
0,0,0,0,1,64609fc30000000013014fa3
0,0,0,0,1,690ddd850000000004020d79
0,0,0,0,1,690de90d00000000050302fc
0,0,0,0,1,690c6965000000000700af91
0,0,0,0,1,690dfecc00000000070207cb
