a_missing,b_wrong,c_incitement,d_bad,e_none,post_id
1,0,0,0,0,68f79875000000000703503f
1,0,0,0,0,68f323b10000000003038849
1,0,0,0,0,68f88b480000000004006298
0,0,0,1,0,68f9fa8a000000000301a642
1,0,0,0,0,690b5e2f000000000503017b
0,1,0,0,0,68fc34550000000004021456
1,0,0,0,0,68fb196e000000000700951e
0,0,1,0,0,690b4b270000000004001c13
1,0,0,0,0,690dddf8000000000503984a
0,0,1,1,0,641457e6000000001301532b
1,0,0,0,0,68ea05090000000004015053
1,0,0,0,0,6904cd3b00000000030362e4
1,0,0,0,0,690d5c5800000000040063cc
1,0,0,0,0,690028cc000000000402bfe9
0,0,1,0,0,69073bef0000000004011978
0,0,1,0,0,68f8aa090000000003036515
1,0,0,0,0,68f6003c000000000301e7f0
1,0,0,0,0,68fde32c0000000007038468
1,0,0,0,0,690e89f9000000000303401e
1,0,0,0,0,68f0b44a0000000007039530
1,0,0,0,0,68f890e70000000004014c0b
0,0,0,1,0,690df09f0000000007014286
1,0,0,0,0,690620e60000000005032e25
0,0,0,1,0,690c82130000000004029a71
1,0,0,0,0,690a24370000000007002eaa
1,0,0,0,0,690c2d460000000005030ecc
0,0,0,1,0,690ad18f00000000030237e9
0,0,0,1,0,690c154c000000000401201f
1,0,0,0,0,690eb4290000000007016e58
0,0,1,0,0,690ca1f5000000000700e328
1,0,0,0,0,6904c4fc0000000007033fd7
0,0,1,1,0,690c8b4d000000000700dd12
1,0,0,0,0,690576730000000005013d6d
1,0,0,0,0,690b4c240000000007016fdf
0,0,0,1,0,690e0480000000000303406b
0,0,1,1,0,690e484c000000000700c6c0
0,0,1,1,0,690db42300000000040052dc
0,0,0,1,0,690487bf0000000007014fcf
0,0,0,1,0,690f08a40000000004004f65
0,0,1,0,0,690c6325000000000401016d
0,0,0,1,0,690d0a320000000007017c5a
1,0,0,0,0,690df5650000000007008aac
0,0,1,0,0,690c6243000000000300dc2f
0,1,0,0,0,690db2ca00000000040019a2
1,0,0,0,0,690f59db000000000703282d
0,0,0,1,0,690f069f0000000003012247
0,0,1,0,0,690c87950000000007001bf1
0,0,0,1,0,69101996000000000703911a
1,0,0,1,0,690f496d000000000401601b
0,0,1,0,0,690ee9e80000000007016b64
1,0,0,0,0,690ecfc5000000000700b555
0,0,0,1,0,690dac42000000000300c723
1,0,0,0,0,690ea967000000000503aa9d
1,0,0,0,0,6909dfc30000000005038422
0,0,0,1,0,69087434000000000303bddb
0,0,1,0,0,69003320000000000302c73d
1,0,0,0,0,690966db0000000005033c93
1,0,0,0,0,69006ae1000000000503b43b
1,0,0,0,0,690c921a0000000004006aea
1,0,0,0,0,69087aa70000000007036464
1,0,0,0,0,68ee6b9f00000000070020c2
0,1,0,0,0,6908587c000000000702261c
1,0,0,0,0,690a8d6200000000050399af
0,0,1,1,0,69020953000000000503b27f
1,0,0,0,0,68fb4098000000000503a2e5
1,0,0,0,0,69008f70000000000302ca5d
1,0,0,0,0,68ff9eb900000000070335fd
1,0,0,0,0,6909d2790000000003037b8e
1,0,0,0,0,690986040000000003019860
1,0,1,0,0,690dac3c000000000300c701
