class,post_id,title,content,create_at,user_id,liked_count,cover_url,post_url,image_urls,video_url,fans_count
recommend,68f79875000000000703503f,在朋友家吃过一次，被惊艳到了,五星级酒店学来的十道热门家常菜最后一道价值百万#家常菜[话题]##美食教程[话题]# #大人小孩都爱吃[话题]# #教你做道拿手菜[话题]# #做着简单又好吃[话题]# #不敢想象这有多好吃[话题]# #色香味俱佳[话题]#,1761056885000,67d27eb1000000000d00888d,1718,http://sns-webpic-qc.xhscdn.com/202511082038/957e74c177345addd63ccca5531bdfb3/1040g00831ntfh7ojl2605puifqoj924dbtbrde0!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/68f79875000000000703503f?xsec_token=ABiCTzbrFm4hGnldGSGB4XMXPdFROnfXRLbHXrgfmvn-w=&xsec_source=pc_feed,['http://sns-webpic-qc.xhscdn.com/202511082038/957e74c177345addd63ccca5531bdfb3/1040g00831ntfh7ojl2605puifqoj924dbtbrde0!nd_dft_wlteh_webp_3'],http://sns-bak-v1.xhscdn.com/stream/1/110/259/01e8f7986f22f0e2010370039a0730508c_259.mp4,29000.0
recommend,68f323b10000000003038849,我想养一只小狗🐶,#光遇[话题]# #光遇画中游[话题]# #我在现实里拍到光遇了[话题]#,1760764849000,5ae0a9dee8ac2b68f92d6bf9,1707,http://sns-webpic-qc.xhscdn.com/202511082040/ec82c7793f8c6c7eeaf196a79e411653/1040g2sg31np49uvqlm704a4qs4ktsqvpl1ctpr8!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/68f323b10000000003038849?xsec_token=ABkuucDPUH8E9XitaQ4XC-er6RFjqPua7OIYiOlMcaFCY=&xsec_source=pc_feed,['http://sns-webpic-qc.xhscdn.com/202511082040/ec82c7793f8c6c7eeaf196a79e411653/1040g2sg31np49uvqlm704a4qs4ktsqvpl1ctpr8!nd_dft_wlteh_webp_3'],http://sns-bak-v1.xhscdn.com/stream/1/110/259/01e8f3237322cd340103700399f5c3a81b_259.mp4,4100.0
recommend,68f88b480000000004006298,“你眉目如当年 流转我心间”,,1761119048000,66a0ffed000000002401ec51,270000,http://sns-webpic-qc.xhscdn.com/202511082044/5fab567279b5ade84e4eec00356dbb17/1040g00831nud53inmg0g5pl0vvmp3r2hds253t0!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/68f88b480000000004006298?xsec_token=AB5C1N7i2dNGS_J8zG6bb2MqmISF82SJrWUQ_eBcChzUQ=&xsec_source=pc_feed,['http://sns-webpic-qc.xhscdn.com/202511082044/5fab567279b5ade84e4eec00356dbb17/1040g00831nud53inmg0g5pl0vvmp3r2hds253t0!nd_dft_wlteh_webp_3'],http://sns-bak-v1.xhscdn.com/stream/79/110/259/01e8f88b47345f52010370039a0ae03b5a_259.mp4,51000.0
recommend,68f9fa8a000000000301a642,1945年希特勒逃亡到南极地下基地,1945年的希特勒没有按照官方历史课本剧情选择轻生，而是一路逃亡至南极雅利安地下基地。 早在1938年，希特勒就秘密派出舰队远征南极，建立前哨基地，命名为：新士瓦本兰（Neuschwabenland）。德军在极地冰盖下修建隐秘洞穴与基地通道，甚至留下大量带鹰徽的钢铁建筑残骸。 到了二战后期，一部分纳粹高层和黄金财宝陆续转移至南极极地，逐步建立起了新的「第四帝国」。 #记录吧就现在[话题]# #老钱风[话题]# #时尚[话题]# #复古[话题]# #小红薯给流量[话题]# #历史[话题]# #老照片[话题]# #建筑设计[话题]# #男士穿搭[话题]# #艺考[话题]#,1761213066000,6539baf5000000000600719f,1341,http://sns-webpic-qc.xhscdn.com/202511082045/b888a1bfca9ecd3eabfc56476cd2b741/1040g2sg31nvmebs95m7g5p9pnbqhgscvd71r40o!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/68f9fa8a000000000301a642?xsec_token=ABEN1W52RLPwb9jtLjtQ3ZQYpHpSk2Xtlc5ZIgLoereuw=&xsec_source=pc_feed,['http://sns-webpic-qc.xhscdn.com/202511082045/b888a1bfca9ecd3eabfc56476cd2b741/1040g2sg31nvmebs95m7g5p9pnbqhgscvd71r40o!nd_dft_wlteh_webp_3'],http://sns-bak-v1.xhscdn.com/stream/79/110/259/01e8f9fa8a25404b010370039a107acf62_259.mp4,0.0
recommend,690b5e2f000000000503017b,禁止小咪苦难娱乐化,#勇敢猫猫不怕困难[话题]# #没有小猫这个地球怎么转[话题]# #欺负小猫不会说话[话题]# #世界破破烂烂猫猫缝缝补补[话题]# #好玩爱玩多玩[话题]#,1762352687000,576a8c9e6a6a690b1faf1959,200000,http://sns-webpic-qc.xhscdn.com/202511082047/574b50b7bdeda415960651f5fc1c5fad/1040g2sg31ogpdqfllm7048gsa969s6apneedfm8!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/690b5e2f000000000503017b?xsec_token=ABPQBqEmrpMI0mhFbLXXbAxmw_CFgUBty_RXSIW9gbdaM=&xsec_source=pc_feed,['http://sns-webpic-qc.xhscdn.com/202511082047/574b50b7bdeda415960651f5fc1c5fad/1040g2sg31ogpdqfllm7048gsa969s6apneedfm8!nd_dft_wlteh_webp_3'],http://sns-bak-v1.xhscdn.com/stream/79/110/259/01e90b5e2e2abf17010370039a5468094b_259.mp4,7464.0
recommend,68fc34550000000004021456,“鲁迅曾经救了一个中国，现在再救一次吧,……”,1761358933000,6345ce09000000001901f9cc,89000,http://sns-webpic-qc.xhscdn.com/202511082048/beedb0154a08abf3c806e94c29dc3783/1040g2sg31o1vd1u25mdg5oq5po4mbuecsfuanf0!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/68fc34550000000004021456?xsec_token=ABdWumY7dip3YvyNIY5Y-5iljWAqUFYhSy0k8IC1a1Kx4=&xsec_source=pc_feed,['http://sns-webpic-qc.xhscdn.com/202511082048/beedb0154a08abf3c806e94c29dc3783/1040g2sg31o1vd1u25mdg5oq5po4mbuecsfuanf0!nd_dft_wlteh_webp_3'],http://sns-bak-v1.xhscdn.com/stream/1/110/259/01e8fc345522fc5f010370039a192c8856_259.mp4,14000.0
recommend,68fb196e000000000700951e,世界文学史上最封神的比喻是？,#作家笔下的浪漫[话题]##文艺句子[话题]# #文学的浪漫[话题]# #文字是终身热爱[话题]##文人笔下的浪漫[话题]# #文字的力量[话题]# #文学的意义[话题]# @校园薯,1761286510000,595682b550c4b47a85cb9466,19000,http://sns-webpic-qc.xhscdn.com/202511082049/5b1ede26081011e49b9fdbcf1b089eef/notes_pre_post/1040g3k031o0t34m94u0g49l4k51bb536grpbu08!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/68fb196e000000000700951e?xsec_token=ABY7gSzadZXf5hHnyQLxKP5KlowCD5hvP7F9_UunLUxnE=&xsec_source=pc_feed,['http://sns-webpic-qc.xhscdn.com/202511082049/5b1ede26081011e49b9fdbcf1b089eef/notes_pre_post/1040g3k031o0t34m94u0g49l4k51bb536grpbu08!nd_dft_wlteh_webp_3'],,420000.0
recommend,690b4b270000000004001c13,18s够不够你爱上我,找照片找了好久哈哈哈哈 #这都拿不下你[话题]# #定格2000s[话题]# #短发[话题]# #感觉至上[话题]#,1762347815000,5e3e3ae10000000001007e6d,3791,http://sns-webpic-qc.xhscdn.com/202511082049/065ebb36557283003567ed81c46a840b/1040g00831ogmles406005nhu7bgg8vjdmkou60o!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/690b4b270000000004001c13?xsec_token=ABPQBqEmrpMI0mhFbLXXbAxvTlRdVBYGoMoQL4Fwupsd8=&xsec_source=pc_feed,['http://sns-webpic-qc.xhscdn.com/202511082049/065ebb36557283003567ed81c46a840b/1040g00831ogmles406005nhu7bgg8vjdmkou60o!nd_dft_wlteh_webp_3'],http://sns-bak-v1.xhscdn.com/stream/79/110/259/01e90b4af56436eb010370039a541dcc28_259.mp4,112000.0
fashion,690dddf8000000000503984a,“活力大湾区，魅力新中山”,#历史与现代的交汇[话题]# #在城市中寻找诗和远方[话题]# #今天先这样[话题]# #城市漫游者[话题]# #Ootd[话题]# #中山崖口[话题]#,1762516472000,54f555194fac634a576b1573,1951,http://sns-webpic-qc.xhscdn.com/202511082117/56f6075465599daa0972fb326cae116b/notes_pre_post/1040g3k831oj7id5lmg8g4026o5ahi5bjb9i9a28!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/690dddf8000000000503984a?xsec_token=AB0Fn6VGXLKK4As6BSZtIpZNuMpDH-hH_k3vzMh8jq9TA=&xsec_source=pc_cfeed,"['http://sns-webpic-qc.xhscdn.com/202511082117/56f6075465599daa0972fb326cae116b/notes_pre_post/1040g3k831oj7id5lmg8g4026o5ahi5bjb9i9a28!nd_dft_wlteh_webp_3', 'http://sns-webpic-qc.xhscdn.com/202511082117/988f5b7b0d70ea8683674af593d18b43/notes_pre_post/1040g3k831oj7id5lmg704026o5ahi5bjooht9ao!nd_dft_wlteh_webp_3', 'http://sns-webpic-qc.xhscdn.com/202511082117/6f290b349e8b6b15783e1368db39cb3c/notes_pre_post/1040g3k831oj7id5lmg804026o5ahi5bj5p79n70!nd_dft_wlteh_webp_3', 'http://sns-webpic-qc.xhscdn.com/202511082117/900f008c882b4fa28b8185017537d197/notes_pre_post/1040g3k831oj7id5lmg7g4026o5ahi5bjte87l9o!nd_dft_wlteh_webp_3', 'http://sns-webpic-qc.xhscdn.com/202511082117/b03482ab4d0a06f14be1f0d5fe28b615/notes_pre_post/1040g3k831oj7id5lmg904026o5ahi5bj7i7dftg!nd_dft_wlteh_webp_3']",,126000.0
fashion,641457e6000000001301532b,160 130斤｜😭挖到了巨显瘦又显🐻的裙子！！！,谁懂啊！好显瘦 这套看起来好温柔 同时又辣又甜[哭惹R][哭惹R][哭惹R]#今天穿什么香[话题]# #笔记灵感[话题]# #微胖纯欲[话题]# #显瘦穿搭[话题]# #好看的裙子[话题]# #裙子[话题]# #紫色系[话题]# #碎花裙[话题]# #微胖辣妹[话题]# #微胖甜妹[话题]# #大大方方做自己[话题]#,1679054822000,565c21e0f53ee02d8bc15547,1037,http://sns-webpic-qc.xhscdn.com/202511082131/2bbceefa694801045e05b0bf8377b070/1000g00826u7selofm00043iegmgu0la71r55fjg!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/641457e6000000001301532b?xsec_token=ABLzYHmWQhDh6-Srvxrd8mbJcfIQEaN1gccqw3FHLwYTE=&xsec_source=pc_cfeed,"['http://sns-webpic-qc.xhscdn.com/202511082131/2bbceefa694801045e05b0bf8377b070/1000g00826u7selofm00043iegmgu0la71r55fjg!nd_dft_wlteh_webp_3', 'http://sns-webpic-qc.xhscdn.com/202511082131/0d77be66f391ac467577df1dee278fb5/1000g00826u7selofm00g43iegmgu0la7snro9m0!nd_dft_wlteh_webp_3', 'http://sns-webpic-qc.xhscdn.com/202511082131/1f8f9e71d4b4f990e50732a63b90bd36/1000g00826u7selofm01043iegmgu0la7nesnkgo!nd_dft_wlteh_webp_3', 'http://sns-webpic-qc.xhscdn.com/202511082131/05cb6210f75eba11bc5e824f840f56ce/1000g00826u7selofm01g43iegmgu0la7agf1hhg!nd_dft_wlteh_webp_3', 'http://sns-webpic-qc.xhscdn.com/202511082131/79af275fe9d2d7f823b9a97eabe190ae/1000g00826u7selofm02043iegmgu0la7oh31o8o!nd_dft_wlteh_webp_3']",,21000.0
