post_id,h1,h2,h3,h4,h5,h6,h7,h8,title,reasoning
5ff2832600000000010063f0,1,0,0,0,0,0,0,0,Girl’s talk真心话碎碎念✈️ 错过再等一年,"Title mentions '错过再等一年' (missing out and waiting for another year), which implies a sense of loss or regret due to inaction. This triggers FOMO."
61f68f2f000000002103c81b,1,0,0,0,0,0,0,0,快来捡漏手慢无🙊 发现2⃣个清宝藏铺,"The post uses '手慢无' (miss out if you're slow) to create a sense of urgency and FOMO, encouraging immediate action. The use of '清宝藏铺' (clearance treasures) suggests hidden gems, which aligns with the FOMO hook."
621b877900000000010295c0,0,1,0,0,0,0,0,1,太爽了吧！超厉害的省钱秘密！看完省下一个亿,"The post emphasizes saving money and provides a list of budget-friendly items, which aligns with the Gain Appeal hook. The title and content suggest that the audience can gain benefits (saving money) by reading the post."
63f6e3330000000013010a72,0,1,0,0,0,0,0,1,写小说必备工具：专治词汇量匮乏，文笔不好,"The post title suggests a solution to improve writing skills, which can be seen as a benefit or gain. The content is not about inaction or missing out, but rather about finding a tool to help with writing."
63f743c5000000001300fafe,0,0,0,0,0,0,0,0,鱼丸的书桌介绍来了🤗,"The post introduces a personal study space with a focus on organization and aesthetics, but does not emphasize any psychological hooks such as FOMO, Gain Appeal, Information-gap, Anomaly/Novelty, Perceptual Contrast, Ingroup/Outgroup, Social Comparison, or Authority Endorsement."
63f749f90000000013031e65,1,0,0,0,0,0,0,0,两人共同努力的第二套房、不敢发朋友圈的家,"The title emphasizes the effort of two people in buying a second home and the hesitation to share it on social media, triggering FOMO."
63f74e4e00000000130335b1,1,0,0,0,0,0,0,0,血泪教训😭全屋定制坑人地方太多了‼️,"The title mentions 'blood and tears' and 'full house customization' with a negative tone, indicating a negative experience. The image shows a construction or renovation scene, which aligns with the context of customization."
63f820da0000000013009224,0,1,0,0,0,0,0,0,麻雀虽小五脏俱全,"The title '麻雀虽小五脏俱全' suggests a small space with all necessary facilities, which implies a gain appeal by showing the functionality and comfort of the space."
63f8392d0000000014027f6a,0,1,0,0,1,0,1,1,深蹲进阶‼️从半蹲到全蹲，我做对了什么,"The post emphasizes the progression from half squat to full squat, suggesting a gain in skill and strength. The visual contrast between the two images highlights the improvement, which can be seen as a perceptual contrast. The title and images together create a narrative of advancement and achievement."
63f861c1000000001303c6e1,0,1,0,0,0,0,0,1,极简风客厅｜没想到亮面砖通铺既简约又通透,"The post emphasizes the benefits of using glossy tiles in a living room, such as simplicity and transparency, without any mention of FOMO, gain appeal, information-gap, anomaly/novelty, perceptual contrast, ingroup/outgroup, social comparison, or authority endorsement."
63f8635f00000000130166f4,0,0,0,0,0,0,0,0,案例专辑❤️学习 | 厂区更新,"The post focuses on sharing updates and examples of factory area updates without emphasizing any psychological hooks such as FOMO, Gain Appeal, Information-gap, Anomaly/Novelty, Perceptual Contrast, Ingroup/Outgroup, Social Comparison, or Authority Endorsement."
63f8c49300000000270018eb,0,0,0,0,0,0,0,0,“乡村振兴”话题范文积累,"The text is a范文 (model essay) on the topic of rural revitalization, which does not contain any hooks such as FOMO, Gain Appeal, Information-gap, Anomaly/Novelty, Perceptual Contrast, Ingroup/Outgroup, Social Comparison, or Authority Endorsement."
63f8cbd5000000001303e2db,1,1,0,1,0,0,0,1,减肥干货｜瘦了二十斤的经验分享,"Post highlights weight loss transformation with before and after images, triggering FOMO by showing significant weight loss and implying a successful experience."
63f94b290000000011012acf,0,0,0,0,0,0,0,0,🍃气质可比五官重要多了 开肩薄背-练好体态,"The title emphasizes the importance of body posture and style over facial features, suggesting a focus on physical appearance and style rather than just facial features."
63f9f8760000000014026ccb,1,0,0,0,0,0,1,0,3.6版本卡池复刻角色！有你想要的角色吗？,"The title mentions '3.6 version' and 'replica characters', which implies a comparison or contrast with previous versions, potentially triggering FOMO. The use of '卡池角色预测' (card pool character prediction) suggests a sense of anticipation and curiosity about the new characters."
63faaa4f000000001300936d,1,1,0,1,0,0,0,1,极限拉扯,"The title '极限拉扯' suggests a high-stakes, competitive scenario, which can trigger FOMO. The visual elements like the 'High Level' badge and the '26' achievement imply a significant accomplishment, which can trigger Gain Appeal. The design elements like the gold and red colors, along with the 'High Level' badge, can also trigger Anomaly/Novelty."
63fb0b1f000000001303e428,0,0,0,0,0,0,0,0,小户型就做原木风吧，有阳光的时候很舒服😌,"The title and cover image do not emphasize missing out or inaction, nor do they offer any benefits or information gaps. The content is simply a description of a small apartment with a wooden style, emphasizing the comfort provided by sunlight."
63fb4b9a0000000013033498,0,0,0,0,0,0,0,0,木工说: 真佩服你为了打柜子 还特意学画图！,"The post does not emphasize missing out or inaction leading to a loss or consequence, nor does it offer any benefits or information gaps. It is a straightforward sharing of a kitchen design without any hooks present."
63fb616b000000001303f1a3,1,0,0,0,0,0,0,0,麻了麻了已经无从下手了家人们,"The title expresses confusion and a sense of being overwhelmed, which can trigger FOMO due to the fear of missing out on solving the problem."
63fc5bfb000000000800fa66,0,0,0,0,0,0,1,1,长期以来，我们的教师观多少有些问题,"The post discusses the traditional view of teachers and critiques it, indicating a contrast between the old view and the author's perspective."
63fc76ed0000000013034982,0,1,0,0,0,0,0,1,一次谷子桌面收纳开箱！,"The post emphasizes the benefits of organizing desk items, such as saving space and keeping items tidy, which aligns with the Gain Appeal hook. The title and images suggest that the content will provide useful tips and solutions for organizing desk items."
63fd950d0000000013004d3c,1,0,0,0,0,0,0,0,🈲绝对不能和同事说的8句话❗职场社交禁,"The title uses strong language ('绝对不能') and a sense of prohibition ('8句话') to create a sense of urgency and importance, which is characteristic of FOMO. The use of '祸从口出' (disaster from the mouth) implies a negative consequence of speaking, which aligns with the FOMO hook."
63fda221000000001203c802,1,1,0,0,0,0,0,1,分享一个减脂期也能吃的抹茶酱！！,"The title mentions '减脂期' (weight loss period) and '抹茶酱' (matcha sauce), which implies a health-related benefit. The use of '也能吃' (can also eat) suggests a positive outcome for the audience."
63fdd3a5000000000800fda8,1,1,0,0,0,0,0,1,一个小细节能让你家瞬间变高级！,"The title suggests a simple home improvement tip that can make a room look more luxurious without significant cost, triggering a sense of FOMO for those who might feel their home lacks this detail."
63fe2ed60000000011011e91,0,0,0,0,0,0,0,0,会计转行摆摊的第7天,"The title does not mention any inaction or consequences, nor does it highlight any benefits or gains. It simply states the day and the activity without any psychological hooks."
63fe48da000000000800d387,0,1,0,1,0,0,0,1,春天的第一条仙女裙,"The title '春天的第一条仙女裙' implies a sense of novelty and rarity, suggesting that the content is about a unique or special experience. The visual of the person in a stylish outfit also aligns with the concept of a 'fairy dress', which is often associated with elegance and uniqueness."
63fee9e4000000000800d954,1,0,0,0,0,0,0,0,看完第八集久久不能从情绪中出来💧,"The title and cover image suggest a strong emotional impact and a sense of being unable to move on from the content, which aligns with the FOMO hook."
64000353000000000800d341,1,1,0,1,0,1,0,1,厦门的小马尔代夫🏝️本地人的小众景点,"The title emphasizes the unique and rare nature of the location, using '小马尔代夫' (little Maldives) and '小众景点' (small, niche attraction) to create a sense of exclusivity and novelty. The image of the bridge and water also supports the idea of a unique and picturesque spot."
64014e010000000013036e75,1,0,0,0,0,0,0,0,🎺甜蜜庆典小旗子🎉送朋友的永远不觉得麻烦,"The title emphasizes the effort of making and sending sweet little flags, which can be seen as a personal and thoughtful gift, potentially triggering FOMO if the recipient feels they should reciprocate or appreciate the effort."
6401a0eb0000000027028610,0,0,0,0,0,0,0,0,《乌梅子酱》光遇简谱,"The post is a simple sharing of a song's lyrics and does not contain any hooks related to FOMO, gain appeal, information gaps, anomalies, perceptual contrasts, ingroup/outgroup, social comparison, or authority endorsement."
6401c9b70000000013034699,1,0,0,1,1,0,1,0,你们是认真的吗，这是自带杯？！,"The post uses a rhetorical question to create a sense of surprise and curiosity, which is a form of perceptual contrast. The title implies a comparison between the expected (a cup) and the unexpected (a rice cooker with coffee inside)."
6404458b00000000130151cc,0,0,0,0,0,0,0,0,家宴｜8道春天时令菜2小时花费173元（附教程,"The post title and cover image do not contain any hooks. The title is straightforward and does not emphasize missing out, gain, information gaps, anomalies, perceptual contrasts, ingroup/outgroup dynamics, social comparisons, or authority endorsements. The cover image is a simple photo of a handwritten note, which does not provide any hooks."
64047bdd00000000270291e1,0,0,0,0,1,0,1,0,宿舍美食大赏🥣,"The title '宿舍美食大赏' suggests a comparison or competition among dormitory foods, which aligns with the Social Comparison hook. The image of the bowl of food also implies a visual contrast or variety, aligning with the Perceptual Contrast hook."
6404a61b000000001203e91e,1,1,0,0,0,0,0,0,175 146微胖｜早春氛围感辣妹穿搭🎐请查收！,"The post emphasizes the benefits of the outfits for micro-fat individuals in early spring, triggering a sense of FOMO by suggesting that not adopting these outfits might lead to missing out on a fashionable look."
64060cad000000000800e44b,1,0,0,0,0,0,0,0,杭州西湖边！！7个菜95r😭😭！！！,"The title mentions a high price for 7 dishes, triggering FOMO due to the cost of missing out on affordable options."
640617350000000013036938,0,1,0,0,0,0,0,1,不极致但舒适！simple pieces全系测评！,"The post emphasizes the comfort and quality of Simple Pieces jeans, suggesting a positive outcome for those who purchase them. The use of '极致' (extreme) in the title implies a high standard, but the overall tone is positive and appealing."
