post_id,h1,h2,h3,h4,h5,h6,h7,h8,title,reasoning
6462572e000000001300ebe7,0,1,0,1,0,1,0,0,啊啊啊我大温州！这家卤味店可以吃100次‼️,"分析如下:
hook1:FOMO未体现‘如果不做’的暗示。
hook2:'可吃一百次'传递美食吸引力。
hook3:标题仅描述地点+评价，并无刻意隐瞒重要细节。
hook4:'啊啊啊'带夸张语气，突出地方特色。
hook5:仅有单一场景呈现，缺乏显著对比元素。
hook6:提到特定地区(温州)，可能引起本地人群共鸣。
hook7:并未涉及与其他人的具体比较。
hook8:无人物权威引用或其他信任信号。"
6462d6640000000013013656,0,1,0,0,0,0,0,0,紧致手臂线条的七个黄金动作！,分析标题和封面图得出结论。
6462d677000000002700315f,0,1,0,0,1,0,0,0,感觉至上💭｜复古舒适的cozyfit,分析标题和配图得出结论。
6462f2c800000000130303ae,0,0,0,0,0,0,0,0,2024年青岛营口路市场海鲜价格啤酒屋加工费,分析标题和图片得出结论。
6463022a0000000013007940,0,0,1,0,0,1,0,0,97年女生在18线小城市开冰室的一天都在忙啥,"分析如下:
hook1:FOMO未体现‘如果不做’及其代价。
hook2:无明确提到的好处描述。
hook3:'一天都在忙啥？'制造信息空白吸引好奇。
hook4:普通场景，缺乏异常或新奇元素。
hook5:仅展示了开店状态，并非显著对比。
hook6:涉及特定人群(97年女性)，可能引起共鸣。
hook7:并未呈现与其他人的具体差异或比较心态。
hook8:缺少权威来源支持。"
646315d9000000000703b1a7,0,0,0,1,0,1,0,0,世界上最棒的 CSS 程序员奖杯🏆,分析标题和图片得出结论。
64636372000000001203e701,0,1,0,0,0,0,0,0,啊啊啊这条裙子也太好看了吧！！,"分析如下:
hook1:FOMO未体现‘如果不买’的暗示。
hook2:'好看'表明潜在吸引力，可能吸引购买兴趣。
hook3:无明确信息遗漏设计。
hook4:'太好了！'带轻微夸张效果，但非刻意制造异常。
hook5:仅展示了单个状态，并无显著对比元素。
hook6:缺乏特定人群标识或归属感表述。
hook7:仅有主观评价，无人物间的客观差异描述。
hook8:缺少权威来源支持。"
64638be5000000001303f61a,0,1,0,0,0,0,0,0,力量训练：内收肌的功能训练,逐步分析各心理钩子是否存在。
64649e380000000013037487,0,0,0,0,0,0,0,0,星穹铁道景元行迹、光锥、遗器、配队一图流,FAILED:JSON_PARSE_FAILED
6464aa360000000027012522,0,1,1,0,0,1,0,0,为什么男朋友要找肌肉男？？,"分析如下:
hook1:FOMO未体现‘如果不做’及其代价。
hook2:'健身男友的好处'暗示潜在收益。
hook3:标题设疑引兴趣，存在信息缺口。
hook4:无异常或新奇元素突出。
hook5:仅提概念对比，并非具体状态差异。
hook6:涉及特定人群(女生)，可能唤起共鸣。
hook7:间接提到男女关系比较，但不够明确。
hook8:缺乏权威来源支持。"
6464ab66000000001300e462,0,1,0,0,0,0,0,0,帕梅拉跟练‼️新手友好版（带休息🥵）,分析标题和封面图得出结论。
6464abe100000000270020f3,0,0,0,0,0,0,0,0,去恰烤肉啦,分析标题和配图未发现明确的心理钩子。
6464b79f000000001300d365,0,1,1,1,1,1,0,0,135斤｜微胖女生🍧520约会氛围感小裙子分享~,"分析如下:
hook1:FOMO未体现‘如果不做’及其负面影响。
hook2:提到穿搭带来好感提升的好处。
hook3:标题暗示更多细节需查看正文。
hook4:'微胖女孩''独特风格'营造新鲜感。
hook5:不同身材搭配同一主题服饰作对比。
hook6:针对特定人群(微胖女性)，强化身份共鸣。
hook7:无明确的社会比较元素存在。
hook8:缺乏权威来源支持。"
6464be13000000000800c9ed,0,1,0,0,1,0,0,0,霞浦旅游vlog｜去自己想去的地方太快乐啦,"分析如下:
hook1:FOMO未体现‘如果不做’的暗示。
hook2:vlog展示了美食体验的乐趣，具有吸引力。
hook3:标题简洁明确，并无刻意隐瞒重要信息。
hook4:'霞浦旅行'主题普通且常见，缺乏异常或新奇元素。
hook5:图中有食物种类丰富，存在不同类型的对比效果。
hook6:仅提到特定地点游客身份，无法触发强烈群体共鸣。
hook7:并未涉及与其他人的具体比较场景。
hook8:缺少权威来源支持。"
6465924b000000001300331d,0,1,0,0,0,0,0,0,谁能拒绝一个能看日出的大落地窗呢？🌄,分析标题和配图得出结论。
6465d982000000000703bcd3,0,0,0,0,0,0,0,0,结构化面试之“双师型”教师,分析标题和封面图未发现明确的心理钩子。
6465ffe50000000027000af4,0,0,0,0,0,0,0,0,历经2个月，记录传统制作黄豆酱过程,分析标题和封面图未发现明确的心理钩子。
646612a20000000013004204,0,1,0,0,0,0,0,0,🇬🇷希腊旅行地图☀️阳光🏖️沙滩💗爱琴海,分析标题和图片元素，结合各心理钩子的核心定义。
6466223d0000000013013f33,0,1,0,0,1,1,0,0,🗑️60s宿舍沉浸式消耗补货16,"分析如下:
hook1:FOMO未体现‘如果不做会失去’的概念。
hook2:'女大学生宿舍沉浸式消费补货'暗示可能带来生活便利的好处。
hook3:标题仅提到主题，并无刻意隐瞒重要细节。
hook4:视频展示了日常生活场景，缺乏异常或新奇元素。
hook5:图中有不同状态下的物品摆放对比。
hook6:明确指向特定人群(女大学生)，具有群体识别效果。
hook7:并未涉及与其他人的具体比较。
hook8:缺少权威来源支持。"
646650190000000013015c83,0,1,1,0,0,0,0,0,近期最爱的休闲工装裤合集！！（附🔗,"分析如下:
hook1:FOMO未体现‘如果不做’及其负面影响。
hook2:'近期最爱'暗示推荐的好处，吸引关注。
hook3:标题提到链接(🔗)，制造信息缺口引诱点击查看。
hook4:无异常或新奇元素突出显示。
hook5:图中有穿搭效果对比，但非显著反差状态。
hook6:仅提及时尚爱好者可能的兴趣，并无明确群体标识。
hook7:无明显比较行为词或其他社会比较痕迹。
hook8:无权威来源背书。"
6466e9e300000000130330e6,0,0,1,1,1,1,0,0,当我弟和男友的班草弟弟是6年同学…癖好篇,"分析如下:
hook1:FOMO未体现‘如果不做’及其代价。
hook2:无明确收益描述。 
hook3:'癖好篇'暗示后续情节，存在信息缺口设计。
hook4:标题涉及少见的情境组合(兄弟关系+班级情况)，具有独特性和好奇心吸引力。
hook5:对话中有角色间的差异呈现，形成一定对比效果。
hook6:提到特定社交圈层('男朋友''我弟')，可能触发读者身份共鸣。
hook7:隐含不同人物间的关系比较，并非典型的社会比较结构。
hook8:缺乏权威来源支持。"
6467021a0000000013010636,0,1,1,1,0,0,0,0,不按套路出牌，却意外好用的家居好物～,"分析如下:
hook1:FOMO未体现‘如果不做’及其负面影响。
hook2:'意想不到的好处'暗示潜在收益。
hook3:标题设悬，具体用途未知需点击查看。
hook4:'生产厂家都不知道''还能这么用'突出异常创新。
hook5:无明确对比元素存在。
hook6:仅提到厂家，并非特定人群标识。
hook7:无涉及他人或自身差异的社会比较。
hook8:缺乏权威来源支持。"
